epoch,loss,acc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
0,0.9102492928504944,15.079364776611328,0,19,1.0,1.0,-28.8080800311045,0.9309757645560223
1,0.6329491138458252,57.93650817871094,1,72,0.9863013698630136,0.986805619524128,-66.70148927227312,0.8010877329914304
2,0.5937519967556,61.11111068725586,1,76,0.987012987012987,0.98753968837355,-67.17428685729678,0.7618816539374463
3,0.563989907503128,61.904762268066406,2,76,0.9743589743589743,0.9701756634242209,-64.35228136001876,0.7087254504806695
4,0.5369638800621033,65.0793685913086,3,79,0.9634146341463414,0.9565124735114694,-65.43886990046998,0.6591273706704694
5,0.5192437171936035,65.0793685913086,4,78,0.9512195121951219,0.9412090311801954,-59.98083624092292,0.5949680252080656
6,0.5158341825008392,62.69841384887695,4,75,0.9493670886075949,0.9385785681827661,-53.402577565665204,0.553417195092629
7,0.5148244798183441,62.69841384887695,4,75,0.9493670886075949,0.9385785681827661,-51.21870701337941,0.5307854875874007
8,0.5138999223709106,62.69841384887695,3,76,0.9620253164556962,0.9554258013908877,-49.01516441907919,0.5060376812212743
9,0.516088604927063,61.11111068725586,3,74,0.961038961038961,0.9546359885899944,-44.6495993444548,0.4691350342722814
10,0.5170520544052124,61.11111068725586,4,73,0.948051948051948,0.9383869504153223,-45.029650370630335,0.46810337583251527
11,0.5196929275989532,61.11111068725586,4,73,0.948051948051948,0.9383869504153223,-39.640540779223876,0.4120811688709861
12,0.5310319662094116,59.52381134033203,3,72,0.96,0.9530480331423166,-36.23219088250566,0.3940190640393658
13,0.5458497405052185,56.349205017089844,3,68,0.9577464788732394,0.9501095243793861,-31.06503562936413,0.3589701608815458
14,0.5519034564495087,57.93650817871094,4,69,0.9452054794520548,0.9339678610690586,-32.62240573929225,0.3634476318077192
15,0.5565780699253082,57.93650817871094,3,70,0.958904109589041,0.9518986783880031,-30.411750198906514,0.3388186229198774
16,0.5629188120365143,59.52381134033203,4,71,0.9466666666666667,0.9362539004024176,-31.96875055124877,0.34383475476505676
17,0.5772368907928467,56.349205017089844,3,68,0.9577464788732394,0.9501095243793861,-27.59729346598892,0.3188988737555829
18,0.5691327154636383,56.349205017089844,3,68,0.9577464788732394,0.9501095243793861,-28.9144233262829,0.33411888906452064
19,0.5578984320163727,56.349205017089844,3,68,0.9577464788732394,0.9501095243793861,-29.57201539265382,0.3417176548498226
20,0.5617800652980804,57.93650817871094,4,69,0.9452054794520548,0.9339678610690586,-31.647809445987996,0.35258961239612885
